#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69403.1           -            995 6482at5820           -            498   6.4e-18   63.0  34.3   3   4   9.3e-05     0.017   12.2   1.7   207   286   304   383   276   393 0.72 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO69403.1           -            995 6482at5820           -            498   6.4e-18   63.0  34.3   4   4     5e-15     9e-13   46.0   6.8   369   484   552   667   494   679 0.74 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO69121.1           -            869 6482at5820           -            498   1.9e-16   58.2  13.1   1   3   7.9e-06    0.0014   15.7   1.5   119   212   166   262   143   276 0.71 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO69121.1           -            869 6482at5820           -            498   1.9e-16   58.2  13.1   2   3       5.9   1.1e+03   -3.7   0.1   237   260   403   426   396   445 0.66 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO69121.1           -            869 6482at5820           -            498   1.9e-16   58.2  13.1   3   3   3.5e-16   6.3e-14   49.8   0.9   348   480   537   670   527   682 0.89 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO67855.1           -            522 6482at5820           -            498   5.9e-16   56.5  15.5   1   1   1.3e-17   2.4e-15   54.6  15.5   241   448   243   459    90   503 0.76 ATP-dependent helicase, putative [Plasmodium vivax]
SCO65281.1           -            548 6482at5820           -            498   3.2e-12   44.2  25.3   1   1   2.5e-14   4.4e-12   43.8  24.7   107   458    84   483    68   514 0.67 ATP-dependent RNA helicase protein, putative [Plasmodium vivax]
SCO69307.1           -           1249 6482at5820           -            498     3e-10   37.7   3.1   1   1   1.1e-11     2e-09   35.0   3.1   119   460    34   396    15   402 0.72 ADP-dependent DNA helicase RecQ, putative [Plasmodium vivax]
SCO65162.1           -           1408 6482at5820           -            498   6.8e-10   36.5   5.0   1   3      0.98   1.7e+02   -1.1   0.0   181   206   771   796   764   807 0.84 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO65162.1           -           1408 6482at5820           -            498   6.8e-10   36.5   5.0   2   3    0.0022      0.39    7.7   0.0   214   258   894   938   892   942 0.87 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO65162.1           -           1408 6482at5820           -            498   6.8e-10   36.5   5.0   3   3     2e-08   3.6e-06   24.3   4.6   342   451  1138  1263  1120  1292 0.63 ATP-dependent RNA helicase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6482at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6482at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6482at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:50:29 2026
# [ok]
